pdf_name,file_hash,file_size_bytes,pdf_version,num_pages,num_objects,num_stream_objects,num_embedded_files,num_annotation_objects,num_form_fields,creation_date_ts,mod_date_ts,creation_mod_date_diff,avg_entropy_per_stream,max_entropy_per_stream,min_entropy_per_stream,std_entropy_per_stream,num_streams_entropy_gt_threshold,num_encrypted_streams,num_corrupted_objects,num_objects_with_random_markers,has_broken_name_trees,num_suspicious_filters,has_javascript,has_launch_actions,avg_file_size_per_page,compression_ratio,num_eof_markers,extraction_success,extraction_time_ms,error_count,label
cloud_12_embedded.pdf,bb45540b9431868715c5634b32beda40434b5b4a4d4d7a17219152a2271538ee,10556,1.3,1,6,5,1,0,1,0,0,0,6.660780206558543,7.834751655702163,2.2516291673878226,1.7021019021632764,7,0,0,0,False,2,False,False,10556.0,10556.0,1,True,9,0,1
tech_article_7_embedded.pdf,1806bb0f4edfac26e7dd63007416975eee88b084d2fe566ed620dcd1e634b70a,24986,1.3,1,6,5,1,0,1,0,0,0,6.377909332421976,7.916831633909116,2.2516291673878226,1.471641750772815,3,0,0,0,False,4,False,False,24986.0,24986.0,1,True,13,0,1
fintech_16_embedded.pdf,6c457d4a805d52d3ebd72e70f01045aa2cc465ade792d7b240e669d2b8e573db,10571,1.3,1,6,5,1,0,1,0,0,0,6.458144233777503,7.833248175653229,0.0,2.2614991842285512,7,0,0,0,False,2,False,False,10571.0,10571.0,1,True,13,0,1
output_embedded.pdf,4656ab3199ebc78356fe26f86147b9fc944c73ac2294937a0c2b77d63de32437,6160976,1.4,285,1710,1425,0,0,0,486002,0,486002,7.121419303158789,7.8266158473301894,2.2516291673878226,1.5435524442844342,10,0,0,0,False,309,False,True,21617.459649122808,21617.459649122808,1,True,1230,0,1
NETWORK_VISUALIZATION_protected.pdf,23d57f12ee62b7c279e042afa69a71c1dec1cd602815c414d907d6d15eb0a5e0,248445,1.4,10,60,50,0,0,0,0,0,0,7.467048190068951,7.990845252889187,2.321928094887362,1.6270387859454698,10,1,0,0,False,26,False,False,24844.5,24844.5,1,True,63,0,1
custom_5_embedded.pdf,1f4aeabd6f1638c866acf76375f312b6cc1d3e6eedcd1941ea88feec4675e46d,154611,1.3,5,30,25,1,0,1,0,0,0,7.2389775745820595,7.9840744935442185,0.0,2.289433808424747,10,0,0,0,False,10,False,False,30922.2,30922.2,1,True,48,0,1
metadata_embedded.pdf,9fa35be46655dfbd51b02a1801d878ac2cb3504f0c5f774aa85cd2e021c09130,173282,1.3,1,6,5,0,0,1,0,0,0,5.920510540157308,6.43493314543061,1.0,1.556040762284603,0,0,0,0,False,6,False,False,173282.0,173282.0,1,True,40,0,1
ai_1_embedded.pdf,b989dafc01ee2cf12cded07695f3fb42fc51033d88243852227b26f5b8c56c5d,10612,1.3,1,6,5,1,0,1,0,0,0,6.55678140054122,7.834470204566028,1.0,2.00172046407255,7,0,0,0,False,2,False,False,10612.0,10612.0,1,True,14,0,1
agentic_ai_19_embedded.pdf,4eb8ed861b862748f0d76ca8bea070cdc435c94ca975e1c0abbce6920261d7f8,10563,1.3,1,6,5,1,0,1,0,0,0,6.602008959959335,7.833401355224688,1.584962500721156,1.860935507482108,7,0,0,0,False,2,False,False,10563.0,10563.0,1,True,16,0,1
output_eof.pdf,b538d33d53ed9d468855cfbca8e0699a525b094e5adc00c1b7af180946022823,7270135,1.4,285,1710,1425,0,0,0,486002,0,486002,7.174707050184335,7.987834377895499,2.321928094887362,1.5424664066855271,10,0,0,0,False,309,False,True,25509.245614035088,25509.245614035088,1,True,1891,0,1
Stego_Hidden_EmbeddedFile.pdf,ecef6864fb0943b4fdf4ba833660692243787d73b54f00f06e88916c0d83b8b3,703365,1.3,44,264,220,1,0,1,0,0,0,7.424242792226434,7.992819711357332,2.321928094887362,1.6152772985248385,10,0,0,0,False,71,False,True,15985.568181818182,15985.568181818182,1,True,125,0,1
output_837fd0927db64ba3aae1c036662d7c4f.pdf,ffcaf0012f9153cc4781e9cf763c3292db7ceec0e01afd892f15cae7bd35c041,322546,1.4,4,24,20,0,120,0,0,0,0,5.9894877749882065,7.667748293802676,2.2516291673878226,1.290696881801782,1,0,0,0,False,17,False,False,80636.5,80636.5,1,True,78,0,1
cloud_36_embedded.pdf,bb45540b9431868715c5634b32beda40434b5b4a4d4d7a17219152a2271538ee,10556,1.3,1,6,5,1,0,1,0,0,0,6.660780206558543,7.834751655702163,2.2516291673878226,1.7021019021632764,7,0,0,0,False,2,False,False,10556.0,10556.0,1,True,10,0,1
agentic_ai_11_embedded.pdf,4eb8ed861b862748f0d76ca8bea070cdc435c94ca975e1c0abbce6920261d7f8,10563,1.3,1,6,5,1,0,1,0,0,0,6.602008959959335,7.833401355224688,1.584962500721156,1.860935507482108,7,0,0,0,False,2,False,False,10563.0,10563.0,1,True,15,0,1
